NroConsignacion;ItemConsignacion;IdCodProd;UnidadMedida;Cantidad
15754;1;75;C/U;2.0
15758;1;75;C/U;3.0
15758;2;65;C/U;2.0
15758;3;100;C/U;1.0
15759;1;75;C/U;1.0
15759;2;65;C/U;2.0
15798;1;75;C/U;2.0
15798;2;65;C/U;2.0
16318;1;75;C/U;1.0
16318;2;65;C/U;1.0
16335;1;65;C/U;3.0
16335;2;75;C/U;1.0
16336;1;75;C/U;1.0
16336;2;65;C/U;1.0
16452;1;75;C/U;2.0
16452;2;65;C/U;1.0
16452;3;110C;C/U;1.0
16460;1;50;C/U;1.0
16460;2;65;C/U;2.0
16460;3;75;C/U;2.0
16469;1;75;C/U;3.0
16469;2;65;C/U;2.0
16469;3;50;C/U;1.0
16469;4;80T;C/U;1.0
16469;5;110C;C/U;1.0
16469;6;100;C/U;1.0
16469;7;180;C/U;1.0
17259;1;75;C/U;2.0
17259;2;65;C/U;1.0
17283;1;65;C/U;2.0
17283;2;75;C/U;1.0
17968;1;75;C/U;1.0
17968;2;65;C/U;2.0
21410;1;45FKA;C/U;1.0
21410;2;65;C/U;1.0
21410;3;75;C/U;1.0
21410;4;180;C/U;2.0
21410;5;65;C/U;1.0
21410;6;75;C/U;1.0
21410;7;45FKA;C/U;1.0
21410;8;110C;C/U;1.0
22330;1;65;C/U;2.0
22330;2;75;C/U;1.0
22330;3;45FKA;C/U;1.0
22396;1;75;C/U;2.0
22396;2;65;C/U;2.0
22397;1;75;C/U;1.0
22397;2;65;C/U;1.0
22398;1;75;C/U;2.0
22398;2;65;C/U;2.0
22551;1;75;C/U;4.0
22551;2;65;C/U;2.0
22551;3;110C;C/U;1.0
22552;1;75;C/U;2.0
22552;2;65;C/U;2.0
22552;3;45FKA;C/U;1.0
22552;4;110C;C/U;1.0
22556;1;65;C/U;1.0
22556;2;75;C/U;2.0
22557;1;75;C/U;2.0
22557;2;65;C/U;1.0
22559;1;45FKA;C/U;1.0
22559;2;65;C/U;1.0
22559;3;75;C/U;1.0
22561;1;65;C/U;1.0
22561;2;75;C/U;2.0
22561;3;45FKA;C/U;1.0
22562;1;65;C/U;2.0
22562;2;75;C/U;2.0
22563;1;65;C/U;2.0
22563;2;75;C/U;2.0
22563;3;110C;C/U;1.0
