IDCliente;SaldoL1;SaldoL2;SaldoTotal;FechaActSaldo
8;0.0;223.0;223.0;2019-01-07 00:00:00
9;0.0;-2.8;-2.8;2016-03-01 00:00:00
10;0.0;0.0;0.0;2021-03-19 00:00:00
11;0.0;-0.6;-0.6;2016-03-01 00:00:00
12;0.0;892.0;892.0;2016-03-01 00:00:00
13;-500.0;2430.0;1930.0;2020-02-06 00:00:00
14;0.0;0.0;0.0;2016-03-01 00:00:00
15;0.0;56.0;56.0;2025-05-28 00:00:00
16;0.0;1645.0;1645.0;2025-12-16 00:00:00
17;0.0;-8.0;-8.0;2016-11-22 00:00:00
18;0.0;442.4;442.4;2016-03-01 00:00:00
19;0.0;819.6;819.6;2016-03-01 00:00:00
20;0.0;-150.2;-150.2;2016-03-01 00:00:00
21;0.0;10.2;10.2;2025-01-13 00:00:00
22;0.0;231.0;231.0;2016-03-01 00:00:00
23;0.0;-5.2;-5.2;2016-03-01 00:00:00
24;501.36;0.0;501.36;2021-01-13 00:00:00
25;0.0;59.0;59.0;2025-09-12 00:00:00
26;0.0;-1.6;-1.6;2016-03-01 00:00:00
27;0.0;0.0;0.0;2016-03-01 00:00:00
28;0.0;0.8;0.8;2016-03-01 00:00:00
29;0.0;-14.67;-14.67;2016-03-01 00:00:00
30;-662.1;104461.75;103799.65;2026-02-02 00:00:00
31;0.0;0.0;0.0;2016-03-01 00:00:00
32;69.47;13.75;83.22;2021-08-25 00:00:00
33;0.0;282.5;282.5;2022-10-17 00:00:00
34;0.0;688609.5;688609.5;2026-02-05 00:00:00
35;0.0;291.0;291.0;2016-03-01 00:00:00
36;0.0;-2165.0;-2165.0;2025-11-29 00:00:00
37;0.0;20.8;20.8;2016-03-01 00:00:00
38;4757.2;-4624.2;133.0;2025-09-11 00:00:00
39;0.0;382.0;382.0;2024-07-08 00:00:00
40;0.0;0.0;0.0;2023-01-16 00:00:00
41;0.0;-19.0;-19.0;2020-01-20 00:00:00
