NroFactura;TipoFactura;FechaFactura;TotalFactura;PorcentajeIVA;SubTotalFactura;TotalIVA;AlicuotaIIBB;ImportePercepIIBB;CodCliente;PorcentajeDesc;ImporteDesc;CodVendedor;FormaPago;UnidadNegocio;Cancelada;IdSucursal;NroRemito;Cae;FechaVC;CondicionVenta;AclaracionFactura
1;A;2016-04-01 00:00:00;3689.12;21.0;3041.32;638.68;0.3;9.12;345;0.0;0.0;200;;;False;;0;66143299853097;2016-04-11 00:00:00;1 - Contado;
2;A;2016-04-01 00:00:00;1.21;21.0;1.0;0.21;0.3;0.0;345;0.0;0.0;200;;;False;;0;66143300116138;2016-04-11 00:00:00;1 - Contado;
3;A;2016-04-02 00:00:00;1.21;21.0;1.0;0.21;0.3;0.0;345;0.0;0.0;200;;;False;;0;66143306262739;2016-04-12 00:00:00;1 - Contado;
4;A;2016-04-03 00:00:00;0.93;21.0;0.75;0.16;3.5;0.03;816;25.0;0.25;200;;;False;;0;66143307770692;2016-04-13 00:00:00;1 - Contado;
5;A;2016-04-04 00:00:00;15486.89;21.0;12642.36;2654.9;1.5;189.64;918;0.0;0.0;400;;;False;;15635;66143311710871;2016-04-14 00:00:00;1 - Contado;
6;A;2016-04-05 00:00:00;5902.59;21.0;4866.11;1021.88;0.3;14.6;921;20.0;1216.53;300;;;False;;0;66143334559287;2016-04-15 00:00:00;1 - Contado;
7;A;2016-04-05 00:00:00;10259.89;21.0;8458.28;1776.24;0.3;25.37;472;0.0;0.0;100;;;False;;15638;66143335000556;2016-04-15 00:00:00;1 - Contado;
8;A;2016-04-05 00:00:00;1263.92;21.0;1041.98;218.82;0.3;3.13;921;20.0;260.49;300;;;False;;15188;66143335399278;2016-04-15 00:00:00;1 - Contado;
9;A;2016-04-05 00:00:00;1312.89;21.0;1041.98;218.82;5.0;52.1;997;20.0;260.49;300;;;False;;151881;66143335483611;2016-04-15 00:00:00;1 - Contado;
10;A;2016-04-05 00:00:00;2386.27;21.0;1916.68;402.5;3.5;67.08;378;20.0;479.17;100;;;False;;15488;66143337403826;2016-04-15 00:00:00;1 - Contado;
11;A;2016-04-05 00:00:00;1089.0;21.0;874.7;183.69;3.5;30.61;78;20.0;218.68;100;;;False;;15115;66143337441499;2016-04-15 00:00:00;1 - Contado;
12;A;2016-04-05 00:00:00;2204.26;21.0;1749.41;367.38;5.0;87.47;433;20.0;437.35;100;;;False;;16113;66143337684325;2016-04-15 00:00:00;1 - Contado;
13;A;2016-04-05 00:00:00;2118.54;21.0;1749.41;367.38;0.1;1.75;853;20.0;437.35;300;;;False;;15342;66143338160782;2016-04-15 00:00:00;1 - Contado;
14;A;2016-04-05 00:00:00;3258.08;21.0;2616.93;549.56;3.5;91.59;32;25.0;872.32;200;;;False;;15555;66143338256541;2016-04-15 00:00:00;1 - Contado;
15;A;2016-04-05 00:00:00;3420.14;21.0;2747.1;576.89;3.5;96.15;2063;0.0;0.0;400;;;False;;0;66143350714879;2016-04-15 00:00:00;1 - Contado;
16;A;2016-04-06 00:00:00;2568.66;21.0;2117.61;444.7;0.3;6.35;1103;0.0;0.0;500;;;False;;12991;66143361339742;2016-04-16 00:00:00;1 - Contado;
17;A;2016-04-06 00:00:00;6080.9;21.0;4884.26;1025.69;3.5;170.95;352;25.0;1628.09;200;;;False;;15559;66143361584369;2016-04-16 00:00:00;1 - Contado;
18;A;2016-04-06 00:00:00;4289.79;21.0;3536.51;742.67;0.3;10.61;1055;20.0;884.13;200;;;False;;15557;66143361646942;2016-04-16 00:00:00;1 - Contado;
19;A;2016-04-06 00:00:00;5616.97;21.0;4540.8;953.57;2.7;122.6;277;20.0;1135.19;200;;;False;;16388;66143361726621;2016-04-16 00:00:00;1 - Contado;
20;A;2016-04-06 00:00:00;11975.07;21.0;9618.53;2019.89;3.5;336.65;816;25.0;3206.18;200;;;False;;15558;66143361790396;2016-04-16 00:00:00;1 - Contado;
21;A;2016-04-06 00:00:00;222447.89;21.0;178673.0;37521.33;3.5;6253.56;2010;0.0;0.0;100;;;False;;0;66143370596766;2016-04-16 00:00:00;1 - Contado;
22;A;2016-04-07 00:00:00;3453.32;21.0;2773.75;582.49;3.5;97.08;1062;25.0;924.59;500;;;False;;16400;66143377016798;2016-04-17 00:00:00;1 - Contado;
23;A;2016-04-07 00:00:00;25751.75;21.0;21229.8;4458.26;0.3;63.69;345;0.0;0.0;200;;;False;;16753;66143377195641;2016-04-17 00:00:00;1 - Contado;
24;A;2016-04-07 00:00:00;3517.14;21.0;2791.38;586.19;5.0;139.57;395;20.0;697.85;500;;;False;;16764;66143381260960;2016-04-17 00:00:00;1 - Contado;
25;A;2016-04-07 00:00:00;1102.12;21.0;874.7;183.69;5.0;43.74;395;20.0;218.68;500;;;False;;16800;66143381299798;2016-04-17 00:00:00;1 - Contado;
26;A;2016-04-07 00:00:00;1082.0;21.0;874.7;183.69;2.7;23.62;920;20.0;218.68;500;;;False;;12995;66143381344478;2016-04-17 00:00:00;1 - Contado;
27;A;2016-04-07 00:00:00;2951.3;21.0;2433.06;510.94;0.3;7.3;921;20.0;608.26;300;;;False;;169691;66143382596983;2016-04-17 00:00:00;1 - Contado;
28;A;2016-04-07 00:00:00;6957.55;21.0;5750.04;1207.51;0.0;0.0;680;20.0;1437.51;300;;;False;;15191;66143382668860;2016-04-17 00:00:00;1 - Contado;
29;A;2016-04-07 00:00:00;447930.0;21.0;355500.0;74655.0;5.0;17775.0;881;0.0;0.0;700;;;False;;15647;66143389180132;2016-04-17 00:00:00;1 - Contado;
30;A;2016-04-07 00:00:00;60661.4;21.0;50009.4;10501.97;0.3;150.03;2064;0.0;0.0;700;;;False;;0;66143390079166;2016-04-17 00:00:00;1 - Contado;
31;A;2016-04-07 00:00:00;15486.89;21.0;12642.36;2654.9;1.5;189.64;918;0.0;0.0;400;;;False;;15648;66143390897828;2016-04-17 00:00:00;1 - Contado;
32;A;2016-04-08 00:00:00;1061.01;21.0;874.7;183.69;0.3;2.62;696;20.0;218.68;200;;;False;;15561;66153395401891;2016-04-18 00:00:00;1 - Contado;
33;A;2016-04-08 00:00:00;3475.28;21.0;2791.39;586.19;3.5;97.7;81;20.0;697.84;200;;;False;;15562;66153395424858;2016-04-18 00:00:00;1 - Contado;
34;A;2016-04-08 00:00:00;9250.06;21.0;7625.77;1601.41;0.3;22.88;406;20.0;1906.45;100;;;False;;15649;66153395697160;2016-04-18 00:00:00;1 - Contado;
35;A;2016-04-08 00:00:00;12816.24;21.0;10294.17;2161.78;3.5;360.3;156;0.0;0.0;100;;;False;;0;66153396145981;2016-04-18 00:00:00;1 - Contado;
36;A;2016-04-08 00:00:00;1514.58;21.0;1216.53;255.47;3.5;42.58;2065;0.0;304.13;300;;;False;;0;66153404317642;2016-04-18 00:00:00;1 - Contado;
37;A;2016-04-08 00:00:00;1297.27;21.0;1041.98;218.82;3.5;36.47;558;20.0;260.49;400;;;False;;15715;66153407756403;2016-04-18 00:00:00;1 - Contado;
38;A;2016-04-08 00:00:00;4104.88;21.0;3257.84;684.15;5.0;162.89;1045;25.0;1085.95;400;;;False;;15716;66153407784036;2016-04-18 00:00:00;1 - Contado;
39;A;2016-04-08 00:00:00;1058.39;21.0;874.7;183.69;0.0;0.0;754;20.0;218.68;300;;;False;;18162;66153407968685;2016-04-18 00:00:00;1 - Contado;
40;A;2016-04-08 00:00:00;3453.32;21.0;2773.75;582.49;3.5;97.08;1062;25.0;924.59;500;;;False;;12994;66153408086051;2016-04-18 00:00:00;1 - Contado;
41;A;2016-04-11 00:00:00;2204.26;21.0;1749.41;367.38;5.0;87.47;684;20.0;437.35;300;;;False;;18176;66153418577347;2016-04-21 00:00:00;1 - Contado;
42;A;2016-04-11 00:00:00;10736.44;21.0;8764.44;1840.53;1.5;131.47;1210;0.0;0.0;400;;;False;;18190;66153419795689;2016-04-21 00:00:00;1 - Contado;
43;A;2016-04-11 00:00:00;28326.95;21.0;23352.8;4904.09;0.3;70.06;345;0.0;0.0;200;;;False;;15502;66153420387597;2016-04-21 00:00:00;1 - Contado;
44;A;2016-04-11 00:00:00;1263.92;21.0;1041.98;218.82;0.3;3.13;1055;20.0;260.49;200;;;False;;15563;66153422278613;2016-04-21 00:00:00;1 - Contado;
45;A;2016-04-11 00:00:00;675497.34;21.0;551426.4;115799.54;1.5;8271.4;2020;0.0;0.0;700;;;False;;0;66153424777795;2016-04-21 00:00:00;1 - Contado;
46;A;2016-04-12 00:00:00;4003.48;21.0;3300.48;693.1;0.3;9.9;921;20.0;825.12;300;;;False;;17675;66153439698745;2016-04-22 00:00:00;1 - Contado;
47;A;2016-04-12 00:00:00;4003.48;21.0;3300.48;693.1;0.3;9.9;921;20.0;825.12;300;;;False;;15506;66153439735767;2016-04-22 00:00:00;1 - Contado;
