NroFactura;TipoFactura;ItemFactura;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
1;A;1;180;1;3041.32;0;3041.32;C/U;0.0
2;A;1;180;1;1.0;0;1.0;C/U;0.0
3;A;1;180;1;1.0;0;1.0;C/U;0.0
4;A;1;180;1;1.0;25;0.75;C/U;0.25
5;A;1;180;6;2107.06;0;12642.36;C/U;0.0
6;A;1;180;1;3041.32;20;2433.06;C/U;608.26
7;A;1;180;4;2114.57;0;8458.28;C/U;0.0
8;A;1;75;1;1302.47;20;1041.98;C/U;260.49
9;A;1;75;1;1302.47;20;1041.98;C/U;260.49
10;A;1;75;1;1302.47;20;1041.98;C/U;260.49
10;A;2;65;1;1093.38;20;874.7;C/U;218.68
11;A;1;65;1;1093.38;20;874.7;C/U;218.68
12;A;1;65;2;1093.38;20;1749.41;C/U;437.35
13;A;1;65;2;1093.38;20;1749.41;C/U;437.35
14;A;1;50;1;1093.38;25;820.04;C/U;273.35
14;A;2;65;1;1093.38;25;820.04;C/U;273.35
14;A;3;75;1;1302.47;25;976.85;C/U;325.62
15;A;1;150;2;1373.55;0;2747.1;C/U;0.0
16;A;1;180;1;2117.61;0;2117.61;C/U;0.0
17;A;1;75;5;1302.47;25;4884.26;C/U;1628.09
18;A;1;65;1;1093.38;20;874.7;C/U;218.68
18;A;2;75;1;1302.47;20;1041.98;C/U;260.49
18;A;3;90;1;2024.79;20;1619.83;C/U;404.96
19;A;1;65;2;1093.38;20;1749.41;C/U;437.35
19;A;2;50;2;1093.38;20;1749.41;C/U;437.35
19;A;3;75;1;1302.47;20;1041.98;C/U;260.49
20;A;1;65;2;1093.38;25;1640.07;C/U;546.69
20;A;2;75;5;1302.47;25;4884.26;C/U;1628.09
20;A;3;110C;2;2062.8;25;3094.2;C/U;1031.4
21;A;1;45FKA;7;851.0;0;5957.0;C/U;0.0
21;A;2;65;30;748.0;0;22440.0;C/U;0.0
21;A;3;75;50;850.0;0;42500.0;C/U;0.0
21;A;4;100D4X4;10;1295.0;0;12950.0;C/U;0.0
21;A;5;120;8;1529.0;0;12232.0;C/U;0.0
21;A;6;110C;20;1412.0;0;28240.0;C/U;0.0
21;A;7;110C;5;1412.0;0;7060.0;C/U;0.0
21;A;8;180;20;2098.0;0;41960.0;C/U;0.0
21;A;9;200;2;2667.0;0;5334.0;C/U;0.0
22;A;1;75;2;1302.47;25;1953.71;C/U;651.24
22;A;2;65;1;1093.38;25;820.04;C/U;273.35
23;A;1;180;10;2122.98;0;21229.8;C/U;0.0
24;A;1;50;1;1093.38;20;874.7;C/U;218.68
24;A;2;65;1;1093.38;20;874.7;C/U;218.68
24;A;3;75;1;1302.47;20;1041.98;C/U;260.49
25;A;1;65;1;1093.38;20;874.7;C/U;218.68
26;A;1;65;1;1093.38;20;874.7;C/U;218.68
27;A;1;180;1;3041.32;20;2433.06;C/U;608.26
28;A;1;65;2;1093.38;20;1749.41;C/U;437.35
28;A;2;45FKA;1;1093.38;20;874.7;C/U;218.68
