NroNotaCredito;TipoNotaCredito;FechaNotaCredito;TotalNotaCredito;PorcentajeIVA;SubTotalNotaCredito;TotalIVA;AlicuotaIIBB;ImportePercepIIBB;CodCliente;PorcentajeDesc;ImporteDesc;CodVendedor;FormaPago;UnidadNegocio;Cancelada;CAE;FechaVC;CondicionVenta
1;A;2016-04-12 00:00:00;3689.12;21.0;3041.32;638.68;0.3;9.12;345;0.0;0.0;200;;;False;;;
2;A;2016-04-28 00:00:00;1.21;21.0;1.0;0.21;0.3;0.0;345;0.0;0.0;200;;;False;66173723392261;2016-05-08 00:00:00;Contado
3;A;2016-04-28 00:00:00;3689.12;21.0;3041.32;638.68;0.3;9.12;345;0.0;0.0;200;;;False;66173727294891;2016-05-08 00:00:00;Contado
4;A;2016-04-28 00:00:00;1.21;21.0;1.0;0.21;0.3;0.0;345;0.0;0.0;200;;;False;66173727360963;2016-05-08 00:00:00;Contado
5;A;2016-04-28 00:00:00;0.93;21.0;0.75;0.16;3.5;0.03;816;25.0;0.0;200;;;False;66173727393046;2016-05-08 00:00:00;Contado
6;A;2016-04-28 00:00:00;1263.92;21.0;1041.98;218.82;0.3;3.13;921;20.0;260.49;300;;;False;66173727427554;2016-05-08 00:00:00;Contado
7;A;2016-04-28 00:00:00;3453.32;21.0;2773.75;582.49;3.5;97.08;1062;25.0;924.59;500;;;False;66173727555480;2016-05-08 00:00:00;Contado
8;A;2016-04-28 00:00:00;43506.27;21.0;35029.2;7356.13;3.2;1120.93;138;0.0;0.0;700;;;False;66173727619507;2016-05-08 00:00:00;Contado
9;A;2016-04-28 00:00:00;9704.0;21.0;8000.0;1680.0;0.3;24.0;472;0.0;0.0;100;;;False;66173729115348;2016-05-08 00:00:00;Contado
10;A;2016-04-28 00:00:00;16039.55;21.0;13223.04;2776.84;0.3;39.67;635;0.0;0.0;700;;;False;66173729159200;2016-05-08 00:00:00;Contado
11;A;2016-04-29 00:00:00;8015.14;21.0;6437.86;1351.95;3.5;225.33;1370;0.0;0.0;700;;;False;66183748449687;2016-05-09 00:00:00;Contado
12;A;2016-05-02 00:00:00;60661.4;21.0;50009.4;10501.97;0.3;150.03;2064;0.0;0.0;700;;;False;66183788036308;2016-05-12 00:00:00;Contado
13;A;2016-05-03 00:00:00;10129.0;21.0;8350.37;1753.58;0.3;25.05;921;20.0;2087.59;300;;;False;66183805657230;2016-05-13 00:00:00;Contado
14;A;2016-05-04 00:00:00;5902.59;21.0;4866.11;1021.88;0.3;14.6;921;20.0;0.0;300;;;False;66183831101989;2016-05-14 00:00:00;Contado
15;A;2016-05-04 00:00:00;3579.97;21.0;2958.65;621.32;0.3;0.0;1088;20.0;739.67;300;;;False;66183831998324;2016-05-14 00:00:00;Contado
16;A;2016-05-09 00:00:00;777574.26;21.0;634754.5;133298.45;1.5;9521.32;1051;0.0;0.0;700;;;False;66193906179231;2016-05-19 00:00:00;Contado
17;A;2016-05-12 00:00:00;1075.29;21.0;869.27;182.55;2.7;23.47;818;20.0;0.0;400;;;False;66193971150639;2016-05-22 00:00:00;Contado
18;A;2016-05-23 00:00:00;6909.34;21.0;5483.6;1151.56;5.0;274.18;1230;20.0;1370.9;200;;;False;66213131280071;2016-06-02 00:00:00;Contado
19;A;2016-05-24 00:00:00;3679.42;21.0;2955.36;620.63;3.5;103.44;32;25.0;985.13;200;;;False;66213162742124;2016-06-03 00:00:00;Contado
20;A;2016-06-01 00:00:00;110999.99;21.0;91735.53;19264.46;0.0;0.0;780;0.0;0.0;700;;;False;66223319792436;2016-06-11 00:00:00;Contado
21;A;2016-06-09 00:00:00;1263.92;21.0;1041.98;218.82;0.3;3.13;921;20.0;0.0;300;;;False;66233461909798;2016-06-19 00:00:00;Contado
22;A;2016-06-09 00:00:00;3689.12;21.0;3041.32;638.68;0.3;9.12;345;0.0;0.0;200;;;False;66233461933550;2016-06-19 00:00:00;Contado
23;A;2016-06-29 00:00:00;4852.0;21.0;4000.0;840.0;0.3;12.0;472;0.0;0.0;100;;;False;66263775854039;2016-07-09 00:00:00;Contado
24;A;2016-07-06 00:00:00;11434.59;21.0;9334.36;1960.22;1.5;140.02;918;0.0;0.0;400;;;False;66273926201659;2016-07-16 00:00:00;Contado
25;A;2016-07-14 00:00:00;146551.44;21.0;117712.0;24719.52;3.5;4119.92;2010;0.0;0.0;100;;;False;66283046567465;2016-07-24 00:00:00;Contado
26;A;2016-08-02 00:00:00;2814.5;21.0;2326.03;488.47;0.0;0.0;544;0.0;0.0;300;;;False;66313376342646;2016-08-12 00:00:00;Contado
27;A;2016-08-04 00:00:00;42738.36;21.0;34328.0;7208.88;3.5;1201.48;2010;0.0;0.0;100;;;False;66313444659872;2016-08-14 00:00:00;Contado
28;A;2016-08-23 00:00:00;20049.58;21.0;16528.92;3471.07;0.3;49.59;2087;0.0;0.0;600;;;False;66343728593151;2016-09-02 00:00:00;Contado
29;A;2016-08-23 00:00:00;40654.91;21.0;33516.0;7038.36;0.3;100.55;2087;0.0;0.0;600;;;False;66343736786357;2016-09-02 00:00:00;Contado
30;A;2016-08-25 00:00:00;28114.55;21.0;23177.7;4867.32;0.3;69.53;345;0.0;0.0;200;;;False;66343785994958;2016-09-04 00:00:00;Contado
31;A;2016-08-29 00:00:00;1152.4;21.0;925.62;194.38;3.5;32.4;81;20.0;231.4;500;;;False;66353835876056;2016-09-08 00:00:00;Contado
32;A;2016-08-30 00:00:00;203.97;21.0;168.15;35.31;0.3;0.5;635;0.0;0.0;700;;;False;66353863251218;2016-09-09 00:00:00;Contado
33;A;2016-10-18 00:00:00;3948.35;21.0;3223.14;676.86;1.5;48.35;1210;0.0;0.0;400;;;False;66423724343769;2016-10-28 00:00:00;Contado
34;A;2016-10-19 00:00:00;3092.72;21.0;2454.54;515.45;5.0;122.73;1045;25.0;818.18;400;;;False;66423731220757;2016-10-29 00:00:00;Contado
35;A;2016-10-27 00:00:00;10275.34;21.0;8471.01;1778.91;0.3;25.41;635;0.0;0.0;700;;;False;66433901296205;2016-11-06 00:00:00;Contado
36;A;2016-11-03 00:00:00;4852.0;21.0;4000.0;840.0;0.3;12.0;472;0.0;0.0;100;;;False;66443040106655;2016-11-13 00:00:00;Contado
37;A;2016-11-04 00:00:00;5000.0;21.0;4132.23;867.77;3.5;0.0;305;30.0;0.0;200;;;False;66453064483646;2016-11-14 00:00:00;Contado
38;A;2016-11-17 00:00:00;300990.0;21.0;237000.0;49770.0;6.0;14220.0;881;0.0;0.0;700;;;False;66463276454191;2016-11-27 00:00:00;Contado
39;A;2016-11-18 00:00:00;1448.72;21.0;1163.63;244.36;3.5;40.73;130;20.0;290.91;300;;;False;66473291470120;2016-11-28 00:00:00;Contado
40;A;2016-11-29 00:00:00;4522.11;21.0;3632.22;762.77;3.5;127.13;387;25.0;1210.74;500;;;False;66483481096963;2016-12-09 00:00:00;Contado
41;A;2016-12-05 00:00:00;5337.2;21.0;4400.0;924.0;0.3;13.2;472;0.0;0.0;100;;;False;66493613474539;2016-12-15 00:00:00;Contado
42;A;2016-12-16 00:00:00;77792.4;21.0;63504.0;13335.84;1.5;952.56;2020;0.0;0.0;700;;;False;66513825294539;2016-12-26 00:00:00;Contado
43;A;2017-01-06 00:00:00;4730.7;21.0;3900.0;819.0;0.3;11.7;472;0.0;0.0;100;;;False;67013221898012;2017-01-16 00:00:00;Contado
44;A;2017-01-11 00:00:00;16268.25;21.0;12911.31;2711.38;5.0;645.57;1209;35.0;6952.25;300;;;False;67023299117653;2017-01-21 00:00:00;Contado
45;A;2017-01-11 00:00:00;4599.24;21.0;3650.19;766.54;5.0;182.51;1209;35.0;1965.49;300;;;False;67023299402766;2017-01-21 00:00:00;Contado
46;A;2017-01-19 00:00:00;53372.0;21.0;44000.0;9240.0;0.3;132.0;1040;0.0;0.0;700;;;False;67033433492624;2017-01-29 00:00:00;Contado
47;A;2017-02-09 00:00:00;137799.09;21.0;110682.0;23243.22;3.5;3873.87;2010;0.0;0.0;100;;;False;67063851698855;2017-02-19 00:00:00;Contado
48;A;2017-03-06 00:00:00;3542.07;21.0;2845.04;597.46;3.5;99.58;352;25.0;0.0;200;;;False;67103289628153;2017-03-16 00:00:00;Contado
49;A;2017-03-07 00:00:00;5631.47;21.0;4469.42;938.58;5.0;223.47;1088;20.0;1117.34;300;;;False;67103327182830;2017-03-17 00:00:00;Contado
50;A;2017-03-09 00:00:00;1288.72;21.0;1035.12;217.38;3.5;36.23;387;25.0;0.0;500;;;False;67103371886989;2017-03-19 00:00:00;Contado
51;A;2017-03-29 00:00:00;58709.2;21.0;48400.0;10164.0;0.3;145.2;1040;0.0;0.0;700;;;False;67133734259528;2017-04-08 00:00:00;Contado
52;A;2017-03-29 00:00:00;8579.99;21.0;7090.9;1489.09;0.0;0.0;2136;0.0;0.0;600;;;False;67133736466650;2017-04-08 00:00:00;Contado
53;A;2017-04-03 00:00:00;11256.64;21.0;9280.0;1948.8;0.3;27.84;1055;20.0;0.0;200;;;False;67143837629475;2017-04-13 00:00:00;Contado
54;A;2017-04-04 00:00:00;1232.0;21.0;1018.18;213.82;0.0;0.0;2044;20.0;254.54;200;;;False;67143865256926;2017-04-14 00:00:00;Contado
55;A;2017-04-07 00:00:00;115.06;21.0;91.32;19.18;5.0;4.57;1209;35.0;0.0;300;;;False;67143956432954;2017-04-17 00:00:00;Contado
56;A;2017-04-11 00:00:00;3839.0;21.0;3133.88;658.11;1.5;47.01;2124;0.0;0.0;300;;;False;67153997116028;2017-04-21 00:00:00;Contado
57;A;2017-04-27 00:00:00;6495.54;21.0;5302.48;1113.52;1.5;79.54;1210;0.0;0.0;400;;;False;67173364069756;2017-05-07 00:00:00;Contado
58;A;2017-04-27 00:00:00;8311.83;21.0;6596.69;1385.3;5.0;329.83;1209;35.0;3552.06;300;;;False;67173377720744;2017-05-07 00:00:00;Contado
59;A;2017-05-03 00:00:00;72736.7;21.0;59964.3;12592.5;0.3;179.89;1040;0.0;471.07;700;;;False;67183467147580;2017-05-13 00:00:00;Contado
60;A;2017-05-17 00:00:00;8491.0;21.0;7000.0;1470.0;0.3;21.0;472;0.0;0.0;100;;;False;67203744438405;2017-05-27 00:00:00;Contado
61;A;2017-05-17 00:00:00;8491.0;21.0;7000.0;1470.0;0.3;21.0;472;0.0;0.0;100;;;False;67203744841268;2017-05-27 00:00:00;Contado
62;A;2017-05-31 00:00:00;1456.27;21.0;1203.53;252.74;0.0;0.0;547;0.0;0.0;100;;;False;67223028149934;2017-06-10 00:00:00;Contado
63;A;2017-05-31 00:00:00;2550.62;21.0;2048.69;430.22;3.5;71.7;1370;0.0;0.0;700;;;False;67223037618386;2017-06-10 00:00:00;Contado
64;A;2017-06-06 00:00:00;2237.91;21.0;1797.52;377.48;3.5;62.91;681;25.0;599.17;300;;;False;67233156494435;2017-06-16 00:00:00;Contado
65;A;2017-06-06 00:00:00;1840.0;21.0;1520.66;319.34;0.0;0.0;2157;0.0;0.0;200;;;False;67233158803958;2017-06-16 00:00:00;Contado
66;A;2017-06-07 00:00:00;62161.64;21.0;51246.2;10761.7;0.3;153.74;1103;0.0;0.0;500;;;False;67233180205604;2017-06-17 00:00:00;Contado
67;A;2017-07-12 00:00:00;13283.47;21.0;10950.92;2299.69;0.3;32.85;472;0.0;0.0;100;;;False;67283892626691;2017-07-22 00:00:00;Contado
68;A;2017-07-19 00:00:00;263501.7;21.0;217770.0;45731.7;0.0;0.0;881;0.0;0.0;700;;;False;67293046637404;2017-07-29 00:00:00;Contado
69;A;2017-08-02 00:00:00;8230.07;21.0;6610.5;1388.21;3.5;231.37;352;25.0;0.0;200;;;False;67313347626891;2017-08-12 00:00:00;Contado
70;A;2017-08-08 00:00:00;1697.72;21.0;1363.63;286.36;3.5;47.73;1370;0.0;0.0;700;;;False;67323460464122;2017-08-18 00:00:00;Contado
71;A;2017-08-31 00:00:00;4657.5;21.0;3849.17;808.33;0.0;0.0;2182;25.0;1283.06;300;;;False;67353937135996;2017-09-10 00:00:00;Contado
72;A;2017-09-05 00:00:00;5111.7;21.0;4105.78;862.21;3.5;143.7;378;20.0;1026.44;100;;;False;67363046222922;2017-09-15 00:00:00;Contado
73;A;2017-09-12 00:00:00;9381.08;21.0;7535.0;1582.35;3.5;263.73;2154;0.0;0.0;400;;;False;67373176882898;2017-09-22 00:00:00;Contado
74;A;2017-09-22 00:00:00;33340.76;21.0;27486.2;5772.1;0.3;82.46;1040;0.0;0.0;700;;;False;67383438630810;2017-10-02 00:00:00;Contado
