NroNotaCredito;TipoNotaCredito;ItemNotaCredito;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
2;A;1;180;1;1.0;0;1.0;C/U;0.0
3;A;1;180;1;3041.32;0;3041.32;C/U;0.0
4;A;1;180;1;1.0;0;1.0;C/U;0.0
5;A;1;180;1;0.75;0;0.75;C/U;0.0
6;A;2;75;1;1302.47;20;1041.98;C/U;260.49
7;A;1;75;2;1302.47;25;1953.71;C/U;651.24
7;A;2;65;1;1093.38;25;820.04;C/U;273.35
8;A;3;180;15;2335.28;0;35029.2;C/U;0.0
9;A;1;RES;40;200.0;0;8000.0;;0.0
10;A;1;RES;64;206.61;0;13223.04;;0.0
11;A;1;65;1;710.4;0;710.4;C/U;0.0
11;A;2;75;4;807.3;0;3229.2;C/U;0.0
11;A;3;110C;1;1362.04;0;1362.04;C/U;0.0
11;A;4;45FKA;1;807.3;0;807.3;C/U;0.0
11;A;5;50;1;328.92;0;328.92;C/U;0.0
12;A;1;48V270A;1;50009.4;0;50009.4;C/U;0.0
13;A;1;110C;4;2062.8;20;6600.96;C/U;1650.24
13;A;2;65;2;1093.38;20;1749.41;C/U;437.35
14;A;1;180;1;4866.11;0;4866.11;C/U;0.0
15;A;1;65;1;1093.38;20;874.7;C/U;218.68
15;A;2;75;2;1302.47;20;2083.95;C/U;520.99
16;A;1;PLOMO;23953;26.5;0;634754.5;KG;0.0
17;A;1;ERR;1;869.27;0;869.27;cmbUnidadMedida;0.0
18;A;1;75;2;1302.47;20;2083.95;C/U;520.99
18;A;2;65;2;1093.38;20;1749.41;C/U;437.35
18;A;3;100SP;1;2062.8;20;1650.24;C/U;412.56
19;A;1;45FIT;1;1544.62;25;1158.47;C/U;386.16
19;A;2;65;1;1093.38;25;820.04;C/U;273.35
19;A;3;75;1;1302.47;25;976.85;C/U;325.62
20;A;1;48V380AH;1;91735.53;0;91735.53;C/U;0.0
21;A;1;75;1;1041.98;0;1041.98;C/U;0.0
22;A;1;180;1;3041.32;0;3041.32;C/U;0.0
23;A;1;RES;20;200.0;0;4000.0;;0.0
24;A;1;180;4;2333.59;0;9334.36;C/U;0.0
25;A;1;75;50;901.0;0;45050.0;C/U;0.0
25;A;2;65;15;793.0;0;11895.0;C/U;0.0
25;A;3;100;15;1497.0;0;22455.0;C/U;0.0
25;A;4;110C;15;1497.0;0;22455.0;C/U;0.0
25;A;5;120;5;1621.0;0;8105.0;C/U;0.0
25;A;6;45R12;2;1049.0;0;2098.0;C/U;0.0
25;A;7;240;2;2827.0;0;5654.0;C/U;0.0
26;A;1;180;1;2326.03;0;2326.03;C/U;0.0
27;A;1;240;2;2827.0;0;5654.0;C/U;0.0
27;A;2;45R12;1;1049.0;0;1049.0;C/U;0.0
