NroDebito;TipoDebito;FechaDebito;TotalDebito;PorcentajeIVA;SubTotalDebito;TotalIVA;AlicuotaIIBB;ImportePercepIIBB;CodCliente;PorcentajeDesc;ImporteDesc;CodVendedor;FormaPago;UnidadNegocio;Cancelada;NroRemito;Cae;FechaVC;CondicionVenta
1;A;2016-08-30 00:00:00;1121.3;21.0;100.0;21.0;0.3;0.3;885;;;700;;;False;0;66353862822944;2016-09-09 00:00:00;Contado
2;A;2016-09-02 00:00:00;30242.6;21.0;200.0;42.0;0.3;0.6;885;;;700;;;False;0;66363958348813;2016-09-12 00:00:00;Contado
3;A;2017-01-24 00:00:00;26663.3;21.0;100.0;21.0;0.3;0.3;1040;;;700;;;False;0;67043537227374;2017-02-03 00:00:00;Contado
4;A;2017-01-31 00:00:00;44739.3;21.0;100.0;21.0;0.3;0.3;1040;;;700;;;False;0;67053667675246;2017-02-10 00:00:00;Contado
5;A;2017-03-09 00:00:00;14951.21;21.0;1.0;0.21;0.3;0.0;1055;;;200;;;False;0;67103357496883;2017-03-19 00:00:00;Contado
6;A;2017-03-21 00:00:00;58890.95;21.0;150.0;31.5;0.3;0.45;1040;;;700;;;False;0;67123568266275;2017-03-31 00:00:00;Contado
7;A;2017-05-29 00:00:00;8074.33;21.0;123.96;26.03;3.5;4.34;509;;;100;;;False;0;67223993355226;2017-06-08 00:00:00;Contado
8;A;2017-06-02 00:00:00;76052.32;21.0;123.96;26.03;0.3;0.37;1040;;;700;;;False;0;67223089270916;2017-06-12 00:00:00;Contado
9;A;2017-06-19 00:00:00;800.01;21.0;0.01;0.0;0.0;0.0;547;;;100;;;False;0;67253407640447;2017-06-29 00:00:00;Contado
10;A;2017-06-26 00:00:00;30150.36;21.0;123.96;26.03;0.3;0.37;1040;;;700;;;False;0;67263550272479;2017-07-06 00:00:00;Contado
11;A;2017-07-04 00:00:00;3056.19;21.0;123.96;26.03;5.0;6.2;2151;;;400;;;False;0;67273752336141;2017-07-14 00:00:00;Contado
12;A;2017-07-05 00:00:00;75172.7;21.0;123.96;26.03;0.3;0.37;1040;;;700;;;False;0;67273773643127;2017-07-15 00:00:00;Contado
13;A;2017-07-06 00:00:00;45657.88;21.0;123.93;26.03;0.3;0.37;1040;;;700;;;False;0;67273804011077;2017-07-16 00:00:00;Contado
14;A;2017-07-17 00:00:00;44617.86;21.0;123.96;26.03;0.3;0.37;1040;;;700;;;False;0;67293982425075;2017-07-27 00:00:00;Contado
15;A;2017-07-17 00:00:00;70601.4;21.0;123.96;26.03;0.3;0.37;1040;;;700;;;False;0;67293983683039;2017-07-27 00:00:00;Contado
16;A;2017-07-21 00:00:00;8973.9;21.0;123.96;26.03;3.5;4.34;352;;;200;;;False;0;67293098311660;2017-07-31 00:00:00;Contado
17;A;2017-09-18 00:00:00;2650.36;21.0;123.96;26.03;0.3;0.37;1045;;;400;;;False;0;67383295756960;2017-09-28 00:00:00;Contado
18;A;2017-09-18 00:00:00;45657.91;21.0;123.96;26.03;0.3;0.37;1040;;;700;;;False;0;67383295896854;2017-09-28 00:00:00;Contado
19;A;2017-10-05 00:00:00;8113.26;21.0;206.61;43.39;3.5;7.23;352;;;200;;;False;0;67403724203391;2017-10-15 00:00:00;Contado
20;A;2017-11-08 00:00:00;7426.86;21.0;123.96;26.03;3.5;4.34;352;;;200;;;False;0;67453450674659;2017-11-18 00:00:00;Contado
