NroDebito;TipoDebito;ItemDebito;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
1;A;1;CHE;1;1000.0;0;1000.0;;0.0
1;A;2;GTO;1;100.0;0;100.0;;0.0
2;A;1;CHE;1;30000.0;0;30000.0;;0.0
2;A;2;GTO;1;200.0;0;200.0;;0.0
3;A;1;CHE;1;26542.0;0;26542.0;;0.0
3;A;2;GTO;1;100.0;0;100.0;;0.0
4;A;1;CHE;1;44618.0;0;44618.0;;0.0
4;A;2;GTO;1;100.0;0;100.0;;0.0
5;A;1;CHE;1;14950.0;0;14950.0;;0.0
5;A;2;GTO;1;1.0;0;1.0;;0.0
6;A;1;CHE;1;58709.0;0;58709.0;;0.0
6;A;2;GTO;1;150.0;0;150.0;;0.0
7;A;1;CHE;1;7920.0;0;7920.0;;0.0
7;A;2;GTO;1;123.96;0;123.96;;0.0
8;A;1;CHE;1;75901.96;0;75901.96;;0.0
8;A;2;GTO;1;123.96;0;123.96;;0.0
9;A;1;CHE;1;800.0;0;800.0;;0.0
9;A;2;GTO;1;0.01;0;0.01;;0.0
10;A;1;CHE;1;30000.0;0;30000.0;;0.0
10;A;2;GTO;1;123.96;0;123.96;;0.0
11;A;1;CHE;1;2900.0;0;2900.0;;0.0
11;A;2;GTO;1;123.96;0;123.96;;0.0
12;A;1;CHE;1;75022.34;0;75022.34;;0.0
12;A;2;GTO;1;123.96;0;123.96;;0.0
13;A;1;CHE;1;45507.55;0;45507.55;;0.0
13;A;2;GTO;1;123.93;0;123.93;;0.0
14;A;1;CHE;1;44467.5;0;44467.5;;0.0
14;A;2;GTO;1;123.96;0;123.96;;0.0
15;A;1;CHE;1;70451.04;0;70451.04;;0.0
15;A;2;GTO;1;123.96;0;123.96;;0.0
16;A;1;CHE;1;8819.57;0;8819.57;;0.0
16;A;2;GTO;1;123.96;0;123.96;;0.0
17;A;1;CHE;1;2500.0;0;2500.0;;0.0
17;A;2;GTO;1;123.96;0;123.96;;0.0
18;A;1;CHE;1;45507.55;0;45507.55;;0.0
18;A;2;GTO;1;123.96;0;123.96;;0.0
19;A;1;CHE;1;7856.03;0;7856.03;;0.0
19;A;2;GTO;1;206.61;0;206.61;;0.0
20;A;1;CHE;1;7272.53;0;7272.53;;0.0
20;A;2;GTO;1;123.96;0;123.96;;0.0
21;A;1;CHE;1;15820.6;0;15820.6;;0.0
21;A;2;GTO;1;123.96;0;123.96;;0.0
22;A;1;CHE;1;5500.0;0;5500.0;;0.0
22;A;2;GTO;1;123.96;0;123.96;;0.0
23;A;1;CHE;1;4200.0;0;4200.0;;0.0
23;A;2;GTO;1;37.19;0;37.19;;0.0
24;A;1;CHE;1;6500.0;0;6500.0;;0.0
24;A;2;GTO;1;1.0;0;1.0;;0.0
25;A;1;CHE;1;2560.0;0;2560.0;;0.0
25;A;2;GTO;1;33.06;0;33.06;;0.0
26;A;1;CHE;1;7900.0;0;7900.0;;0.0
26;A;2;GTO;1;1.0;0;1.0;;0.0
27;A;1;CHE;1;2685.0;0;2685.0;;0.0
27;A;2;GTO;1;498.0;0;498.0;;0.0
29;A;1;CHE;1;2975.0;0;2975.0;;0.0
29;A;2;GTO;1;206.61;0;206.61;;0.0
30;A;1;CHE;1;2500.0;0;2500.0;;0.0
30;A;2;GTO;1;150.0;0;150.0;;0.0
31;A;1;CHE;1;10000.0;0;10000.0;;0.0
31;A;2;GTO;1;150.0;0;150.0;;0.0
32;A;1;CHE;1;21500.0;0;21500.0;;0.0
32;A;2;GTO;1;150.0;0;150.0;;0.0
33;A;1;CHE;1;2300.0;0;2300.0;;0.0
33;A;2;GTO;1;129.0;0;129.0;;0.0
34;A;1;CHE;1;3322.13;0;3322.13;;0.0
34;A;2;GTO;1;140.49;0;140.49;;0.0
35;A;1;CHE;1;5539.82;0;5539.82;;0.0
35;A;2;GTO;1;0.0;0;0.0;;0.0
36;A;1;CHE;1;44467.5;0;44467.5;;0.0
36;A;2;GTO;1;123.96;0;123.96;;0.0
37;A;1;CHE;1;52355.05;0;52355.05;;0.0
37;A;2;GTO;1;300.0;0;300.0;;0.0
38;A;1;CHE;1;58196.15;0;58196.15;;0.0
38;A;2;GTO;1;123.96;0;123.96;;0.0
39;A;1;CHE;1;11750.0;0;11750.0;;0.0
39;A;2;GTO;1;150.0;0;150.0;;0.0
40;A;1;CHE;1;34080.0;0;34080.0;;0.0
40;A;2;GTO;1;400.0;0;400.0;;0.0
41;A;1;CHE;1;5000.0;0;5000.0;;0.0
41;A;2;GTO;1;1.0;0;1.0;;0.0
42;A;1;CHE;1;5000.0;0;5000.0;;0.0
42;A;2;GTO;1;123.96;0;123.96;;0.0
43;A;1;CHE;1;150450.0;0;150450.0;;0.0
43;A;2;GTO;1;1600.0;0;1600.0;;0.0
44;A;1;CHE;1;82630.0;0;82630.0;;0.0
44;A;2;GTO;1;793.38;0;793.38;;0.0
45;A;1;CHE;1;82800.0;0;82800.0;;0.0
45;A;2;GTO;1;800.0;0;800.0;;0.0
46;A;1;CHE;1;40741.25;0;40741.25;;0.0
46;A;2;GTO;1;123.96;0;123.96;;0.0
47;A;1;CHE;1;6300.0;0;6300.0;;0.0
47;A;2;GTO;1;1.0;0;1.0;;0.0
48;A;1;CHE;1;45900.0;0;45900.0;;0.0
48;A;2;CHE;1;50000.0;0;50000.0;;0.0
48;A;3;GTO;1;1.0;0;1.0;;0.0
49;A;1;CHE;1;45609.0;0;45609.0;;0.0
49;A;2;GTO;1;1.0;0;1.0;;0.0
50;A;1;CHE;1;108090.39;0;108090.39;;0.0
50;A;2;GTO;1;1200.0;0;1200.0;;0.0
51;A;1;CHE;1;50000.0;0;50000.0;;0.0
51;A;2;GTO;1;1.0;0;1.0;;0.0
52;A;1;CHE;1;44450.0;0;44450.0;;0.0
52;A;2;GTO;1;1.0;0;1.0;;0.0
54;A;1;CHE;1;12500.0;0;12500.0;;0.0
54;A;2;GTO;1;247.93;0;247.93;;0.0
55;A;1;CHE;1;19352.07;0;19352.07;;0.0
55;A;2;GTO;1;330.57;0;330.57;;0.0
56;A;1;CHE;1;37300.0;0;37300.0;;0.0
56;A;2;GTO;1;449.58;0;449.58;;0.0
57;A;1;CHE;1;6790.0;0;6790.0;;0.0
57;A;2;GTO;1;247.93;0;247.93;;0.0
58;A;1;CHE;1;37800.0;0;37800.0;;0.0
58;A;2;GTO;1;1.0;0;1.0;;0.0
59;A;1;CHE;1;54010.0;0;54010.0;;0.0
59;A;2;GTO;1;1.0;0;1.0;;0.0
60;A;1;CHE;1;39000.0;0;39000.0;;0.0
60;A;2;GTO;1;1.0;0;1.0;;0.0
61;A;1;CHE;1;37900.0;0;37900.0;;0.0
61;A;2;GTO;1;1.0;0;1.0;;0.0
62;A;1;CHE;1;54020.0;0;54020.0;;0.0
62;A;2;GTO;1;1.0;0;1.0;;0.0
63;A;1;CHE;1;39005.0;0;39005.0;;0.0
63;A;2;GTO;1;1.0;0;1.0;;0.0
64;A;1;CHE;1;20000.0;0;20000.0;;0.0
64;A;2;GTO;1;250.0;0;250.0;;0.0
65;A;1;CHE;1;18392.0;0;18392.0;;0.0
65;A;2;GTO;1;1.0;0;1.0;;0.0
66;A;1;CHE;1;54030.0;0;54030.0;;0.0
66;A;2;GTO;1;1.0;0;1.0;;0.0
67;A;1;CHE;1;38100.0;0;38100.0;;0.0
67;A;2;GTO;1;1.0;0;1.0;;0.0
68;A;1;CHE;1;12715.0;0;12715.0;;0.0
68;A;2;GTO;1;550.0;0;550.0;;0.0
69;A;1;CHE;1;54040.0;0;54040.0;;0.0
69;A;2;GTO;1;1.0;0;1.0;;0.0
70;A;1;CHE;1;38200.0;0;38200.0;;0.0
70;A;2;GTO;1;1.0;0;1.0;;0.0
71;A;1;CHE;1;39010.0;0;39010.0;;0.0
71;A;2;GTO;1;1.0;0;1.0;;0.0
72;A;1;CHE;1;54050.0;0;54050.0;;0.0
72;A;2;GTO;1;1.0;0;1.0;;0.0
73;A;1;CHE;1;38300.0;0;38300.0;;0.0
