NroDebitoI;TipoDebitoI;ItemDebitoI;IDCodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;TotalLinea;UnidadMedida;ImporteDescuento
1;A;1;CHE;1;60000.0;0;60000.0;;0.0
2;A;1;CHE;1;25000.0;0;25000.0;;0.0
3;A;1;DIFP;1;44977.3;0;44977.3;;0.0
4;A;1;RES;1;26038.74;0;26038.74;;0.0
5;A;1;CHE;1;65523.0;0;65523.0;;0.0
5;A;2;CHE;1;74500.0;0;74500.0;;0.0
6;A;1;CHE;1;26060.0;0;26060.0;;0.0
7;A;1;CHE;1;31287.0;0;31287.0;;0.0
8;A;1;CHE;1;62900.0;0;62900.0;;0.0
9;A;1;CHE;1;117788.4;0;117788.4;;0.0
10;A;1;CHE;1;29100.0;0;29100.0;;0.0
11;A;1;CHE;1;180000.0;0;180000.0;;0.0
12;A;1;CHE;1;29100.0;0;29100.0;;0.0
13;A;1;CHE;1;70000.0;0;70000.0;;0.0
14;A;1;RES;1;54338.75;0;54338.75;;0.0
15;A;1;GTO;1;594.0;0;594.0;;0.0
16;A;1;GTO;1;-594.0;0;-594.0;;0.0
17;A;1;CHE;1;40000.0;0;40000.0;;0.0
18;A;1;CHE;1;250000.0;0;250000.0;;0.0
19;A;1;CHE;1;166000.0;0;166000.0;;0.0
19;A;2;GTO;1;2468.4;0;2468.4;;0.0
20;A;1;CHE;1;41992.0;0;41992.0;;0.0
21;A;1;CHE;1;60000.0;0;60000.0;;0.0
22;A;1;CHE;1;137000.0;0;137000.0;;0.0
23;A;1;CHE;1;730000.0;0;730000.0;;0.0
24;A;1;CHE;1;500000.0;0;500000.0;;0.0
