IdSucursal;NroPago;FechaPago;IDCliente;TotalAbonado;Anulado;Corresponde
5;1.0;2025-07-08 00:00:00;2245706;76725.0;;L1
5;2.0;2025-07-15 00:00:00;472;730814.69;;L1
5;3.0;2025-07-15 00:00:00;2011;11185298.17;;L1
5;4.0;2025-07-04 00:00:00;2588;615679.98;;L1
5;5.0;2025-07-18 00:00:00;2554;307840.0;;L1
2;6.0;2025-07-18 00:00:00;2270;6336644.14;;L1
5;7.0;2025-07-24 00:00:00;2011;3610946.73;;L1
2;8.0;2016-08-25 00:00:00;816;8820.5;;L1
5;8.0;2025-07-24 00:00:00;2439;982079.95;;L1
2;9.0;2016-08-31 00:00:00;611;26933.96;;L1
5;9.0;2025-07-24 00:00:00;472;974419.58;;L1
2;10.0;2016-08-31 00:00:00;305;11197.43;;L2
5;10.0;2025-07-28 00:00:00;2689;195919.98;;L1
2;11.0;2016-06-23 00:00:00;721;4845.0;;L1
5;11.0;2025-08-01 00:00:00;472;1013396.34;;L1
2;12.0;2016-09-06 00:00:00;32;6459.0;;L1
5;12.0;2025-08-01 00:00:00;1103;946161.53;;L1
2;13.0;2016-09-13 00:00:00;32;6243.0;;L1
5;13.0;2025-08-05 00:00:00;2554;307840.0;;L1
2;14.0;2016-09-16 00:00:00;1055;8043.88;;L1
5;14.0;2025-08-12 00:00:00;2144;364804.98;;L1
2;15.0;2016-09-19 00:00:00;816;3660.0;;L1
5;15.0;2025-08-12 00:00:00;2554;329359.99;;L1
2;16.0;2016-09-20 00:00:00;352;11455.26;;L1
5;16.0;2025-08-12 00:00:00;539;1500000.0;;L1
2;17.0;2016-09-21 00:00:00;345;28328.16;;L1
5;17.0;2025-08-13 00:00:00;2011;3518944.5;;L1
2;18.0;2016-09-21 00:00:00;277;4097.42;;L1
5;18.0;2025-08-18 00:00:00;2011;3012226.67;;L1
2;19.0;2016-10-04 00:00:00;32;3370.0;;L1
5;19.0;2025-08-19 00:00:00;2758;1430799.97;;L1
2;20.0;2016-10-05 00:00:00;1230;2358.0;;L1
5;20.0;2025-08-21 00:00:00;2608;1765100.14;;L1
2;21.0;2016-10-07 00:00:00;816;5360.0;;L1
5;21.0;2025-08-25 00:00:00;2554;340720.04;;L1
2;22.0;2016-10-13 00:00:00;599;1390.72;;L2
5;22.0;2025-08-27 00:00:00;472;1013396.34;;L1
2;23.0;2016-10-13 00:00:00;352;38805.27;;L1
5;23.0;2025-09-08 00:00:00;2758;494040.0;;L1
2;24.0;2016-10-13 00:00:00;611;45136.27;;L1
5;24.0;2025-09-08 00:00:00;632;531860.0;;L1
2;25.0;2016-10-24 00:00:00;816;4709.0;;L1
5;25.0;2025-09-08 00:00:00;1103;946161.53;;L1
2;26.0;2016-10-25 00:00:00;1332;2754.3;;L1
5;26.0;2025-09-09 00:00:00;2011;3667355.58;;L1
2;27.0;2016-10-25 00:00:00;2086;8747.1;;L1
5;27.0;2025-09-12 00:00:00;2660;329359.99;;L1
2;28.0;2016-10-26 00:00:00;352;18598.49;;L1
5;28.0;2025-09-15 00:00:00;1103;1524042.3;;L1
2;29.0;2016-10-26 00:00:00;1055;4020.14;;L1
5;29.0;2025-09-16 00:00:00;2758;520080.0;;L1
2;30.0;2016-10-27 00:00:00;816;4000.0;;L1
5;30.0;2025-09-17 00:00:00;2554;332160.04;;L1
2;31.0;2016-10-27 00:00:00;277;5021.3;;L1
5;31.0;2025-09-18 00:00:00;2646;3611605.2;;L1
2;32.0;2016-10-27 00:00:00;2099;10040.0;;L1
5;32.0;2025-09-24 00:00:00;346;1810160.0;;L1
2;33.0;2016-10-28 00:00:00;305;30117.0;;L1
5;33.0;2025-09-26 00:00:00;2575;520080.0;;L1
2;34.0;2016-11-01 00:00:00;32;6570.0;;L1
5;34.0;2025-09-29 00:00:00;346;2172403.75;;L1
2;35.0;2016-11-03 00:00:00;2089;1400.0;;L1
5;35.0;2025-10-02 00:00:00;2588;93688.0;;L1
2;36.0;2016-11-02 00:00:00;1503;6365.49;;L1
5;36.0;2025-10-02 00:00:00;2011;7247167.95;;L1
2;37.0;2016-11-02 00:00:00;1055;7380.0;;L1
5;37.0;2025-10-02 00:00:00;2128;566735.48;;L1
2;38.0;2016-11-03 00:00:00;816;6875.0;;L1
