NroPresu;FechaPresu;TotalPresu;SubTotalPresu;CodCliente;PorcentajeDesc;ImporteDesc;FormaPago;UnidadNegocio;CodVendedor;Anulado
0;;;;;;;;;;
65;2022-10-18 00:00:00;20240.0;20240.0;2247;0.0;;;;200;
75;2018-06-26 00:00:00;2064.0;2064.0;2179;20.0;;;;300;
177;2021-07-21 00:00:00;15911.0;15911.0;743;30.0;;;;400;
180;2016-04-25 00:00:00;5637.08;5637.08;1103;0.0;;;;500;
340;2022-11-04 00:00:00;16192.0;16192.0;1201;20.0;;;;300;
1000;2016-06-27 00:00:00;107662.09;107662.09;1000;0.0;;;;700;
1463;2019-06-24 00:00:00;5880.0;5880.0;430;25.0;;;;200;
2300;2021-11-17 00:00:00;18382.0;18382.0;743;30.0;;;;400;
10421;2021-04-01 00:00:00;8770.0;8770.0;261;20.0;;;;500;
13267;2016-04-19 00:00:00;1872.0;1872.0;430;25.0;;;;200;
13294;2016-03-29 00:00:00;2364.0;2364.0;430;25.0;;;;200;
13298;2016-03-29 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13301;2016-04-13 00:00:00;2760.0;2760.0;430;25.0;;;;200;
13303;2016-04-13 00:00:00;992.25;992.25;430;25.0;;;;200;
13304;2016-04-13 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13306;2016-04-13 00:00:00;992.25;992.25;430;25.0;;;;200;
13311;2016-04-13 00:00:00;2493.0;2493.0;842;0.0;;;;200;
13319;2016-04-13 00:00:00;1401.75;1401.75;430;25.0;;;;200;
13321;2016-04-13 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13322;2016-04-13 00:00:00;1837.5;1837.5;636;25.0;;;;200;
13325;2016-04-18 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13326;2016-04-18 00:00:00;2364.0;2364.0;430;25.0;;;;200;
13327;2016-04-18 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13339;2016-04-25 00:00:00;1872.0;1872.0;636;25.0;;;;200;
13341;2016-04-26 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13364;2016-05-10 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13365;2016-05-10 00:00:00;3546.0;3546.0;430;25.0;;;;200;
13376;2016-05-18 00:00:00;992.25;992.25;430;25.0;;;;200;
13380;2016-05-23 00:00:00;2760.0;2760.0;430;25.0;;;;200;
13386;2016-05-23 00:00:00;6504.0;6504.0;430;25.0;;;;200;
13388;2016-05-24 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13398;2016-06-06 00:00:00;1380.0;1380.0;430;25.0;;;;200;
13399;2016-06-06 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13401;2016-06-06 00:00:00;1182.0;1182.0;430;25.0;;;;200;
13407;2016-06-06 00:00:00;2364.0;2364.0;430;25.0;;;;200;
13413;2016-06-13 00:00:00;1983.75;1983.75;430;25.0;;;;200;
13422;2016-06-13 00:00:00;1050.0;1050.0;430;25.0;;;;200;
13438;2016-06-23 00:00:00;2925.0;2925.0;430;25.0;;;;200;
13440;2016-06-23 00:00:00;1983.75;1983.75;430;25.0;;;;200;
13453;2016-07-07 00:00:00;2925.0;2925.0;430;25.0;;;;200;
13471;2016-08-09 00:00:00;1983.75;1983.75;430;25.0;;;;200;
13475;2020-07-24 00:00:00;6000.0;6000.0;2258;20.0;;;;200;
13478;2016-08-09 00:00:00;1050.0;1050.0;430;25.0;;;;200;
13482;2016-08-09 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13483;2016-07-30 00:00:00;2925.0;2925.0;636;25.0;;;;200;
13491;2016-08-09 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13495;2016-08-09 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13512;2016-08-25 00:00:00;1050.0;1050.0;430;25.0;;;;200;
13529;2016-08-30 00:00:00;2925.0;2925.0;842;25.0;;;;200;
13531;2016-08-30 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13532;2016-08-30 00:00:00;2925.0;2925.0;430;25.0;;;;200;
13537;2016-09-07 00:00:00;1050.0;1050.0;430;25.0;;;;200;
13547;2016-09-09 00:00:00;3757.5;3757.5;430;25.0;;;;200;
13549;2016-09-13 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13552;2016-09-13 00:00:00;3757.5;3757.5;430;25.0;;;;200;
13566;2016-09-28 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13567;2016-09-28 00:00:00;1252.5;1252.5;842;25.0;;;;200;
13571;2016-09-28 00:00:00;2505.0;2505.0;430;25.0;;;;200;
13585;2016-10-07 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13586;2016-10-07 00:00:00;2302.5;2302.5;430;25.0;;;;200;
13591;2016-10-14 00:00:00;1983.75;1983.75;430;25.0;;;;200;
13605;2016-10-27 00:00:00;1050.0;1050.0;430;25.0;;;;200;
13629;2016-11-30 00:00:00;1050.0;1050.0;430;25.0;;;;200;
13634;2016-11-30 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13643;2016-12-06 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13651;2016-12-13 00:00:00;2925.0;2925.0;430;25.0;;;;200;
13657;2017-01-09 00:00:00;1252.5;1252.5;430;25.0;;;;200;
13666;2017-01-09 00:00:00;1252.5;1252.5;430;25.0;;;;200;
