NroPresu;ItemPresu;CodProd;Cantidad;PrecioUnitario;PorcentajeDescuento;ImporteDescuento;TotalLinea;UnidadMedida
65;1;65;1;20240.0;0;0.0;20240.0;C/U
75;1;75;1;2580.0;20;516.0;2064.0;C/U
177;1;75;1;12390.0;30;3717.0;8673.0;C/U
177;2;65;1;10340.0;30;3102.0;7238.0;C/U
180;1;180;2;2818.54;0;0.0;5637.08;C/U
340;1;65;1;20240.0;20;4048.0;16192.0;C/U
1000;1;1004X4;3;1411.98;0;0.0;4235.94;C/U
1000;2;180;6;2382.86;0;0.0;14297.16;C/U
1000;3;45R12;6;982.9;0;0.0;5897.4;C/U
1000;4;45FKA;12;982.9;0;0.0;11794.8;C/U
1000;5;65;36;864.93;0;0.0;31137.48;C/U
1000;6;75;41;982.91;0;0.0;40299.31;C/U
1463;1;75;2;3920.0;25;1960.0;5880.0;C/U
2300;1;75;2;13130.0;30;7878.0;18382.0;C/U
10421;1;65;1;8770.0;0;0.0;8770.0;C/U
13267;1;110C;1;2496.0;25;624.0;1872.0;C/U
13294;1;75;2;1576.0;25;788.0;2364.0;C/U
13298;1;75;1;1576.0;25;394.0;1182.0;C/U
13301;1;180;1;3680.0;25;920.0;2760.0;C/U
13303;1;65;1;1323.0;25;330.75;992.25;C/U
13304;1;75;1;1576.0;25;394.0;1182.0;C/U
13306;1;65;1;1323.0;25;330.75;992.25;C/U
13311;1;150;2;1662.0;25;831.0;2493.0;C/U
13319;1;45FIT;1;1869.0;25;467.25;1401.75;C/U
13321;1;75;1;1576.0;25;394.0;1182.0;C/U
13322;1;100D4X4;1;2450.0;25;612.5;1837.5;C/U
13325;1;75;1;1576.0;25;394.0;1182.0;C/U
13326;1;75;2;1576.0;25;788.0;2364.0;C/U
13327;1;75;1;1576.0;25;394.0;1182.0;C/U
13339;1;110C;1;2496.0;25;624.0;1872.0;C/U
13341;1;75;1;1576.0;25;394.0;1182.0;C/U
13364;1;75;1;1576.0;25;394.0;1182.0;C/U
13365;1;75;3;1576.0;25;1182.0;3546.0;C/U
13376;1;65;1;1323.0;25;330.75;992.25;C/U
13380;1;180;1;3680.0;25;920.0;2760.0;C/U
13386;1;180;1;3680.0;25;920.0;2760.0;C/U
13386;2;110C;2;2496.0;25;1248.0;3744.0;C/U
13388;1;75;1;1576.0;25;394.0;1182.0;C/U
13398;1;80T;1;1840.0;25;460.0;1380.0;C/U
13399;1;75;1;1576.0;25;394.0;1182.0;C/U
13401;1;75;1;1576.0;25;394.0;1182.0;C/U
13407;1;75;2;1576.0;25;788.0;2364.0;C/U
13413;1;110C;1;2645.0;25;661.25;1983.75;C/U
13422;1;65;1;1400.0;25;350.0;1050.0;C/U
13438;1;180;1;3900.0;25;975.0;2925.0;C/U
13440;1;110C;1;2645.0;25;661.25;1983.75;C/U
13453;1;180;1;3900.0;25;975.0;2925.0;C/U
13471;1;110C;1;2645.0;25;661.25;1983.75;C/U
13475;1;75;1;7500.0;20;1500.0;6000.0;C/U
13478;1;45FKA;1;1400.0;25;350.0;1050.0;C/U
13482;1;75;1;1670.0;25;417.5;1252.5;C/U
13483;1;180;1;3900.0;25;975.0;2925.0;C/U
13491;1;75;1;1670.0;25;417.5;1252.5;C/U
13495;1;75;1;1670.0;25;417.5;1252.5;C/U
13512;1;65;1;1400.0;25;350.0;1050.0;C/U
13529;1;180;1;3900.0;25;975.0;2925.0;C/U
13531;1;75;1;1670.0;25;417.5;1252.5;C/U
13532;1;180;1;3900.0;25;975.0;2925.0;C/U
13537;1;65;1;1400.0;25;350.0;1050.0;C/U
13547;1;75;3;1670.0;25;1252.5;3757.5;C/U
13549;1;75;1;1670.0;25;417.5;1252.5;C/U
13552;1;75;3;1670.0;25;1252.5;3757.5;C/U
13566;1;75;1;1670.0;25;417.5;1252.5;C/U
13567;1;75;1;1670.0;25;417.5;1252.5;C/U
13571;1;75;2;1670.0;25;835.0;2505.0;C/U
13585;1;75;1;1670.0;25;417.5;1252.5;C/U
13586;1;45FKA;1;1400.0;25;350.0;1050.0;C/U
13586;2;75;1;1670.0;25;417.5;1252.5;C/U
13591;1;110C;1;2645.0;25;661.25;1983.75;C/U
13605;1;65;1;1400.0;25;350.0;1050.0;C/U
13629;1;65;1;1400.0;25;350.0;1050.0;C/U
13634;1;75;1;1670.0;25;417.5;1252.5;C/U
13643;1;75;1;1670.0;25;417.5;1252.5;C/U
13651;1;180;1;3900.0;25;975.0;2925.0;C/U
13657;1;75;1;1670.0;25;417.5;1252.5;C/U
13666;1;75;1;1670.0;25;417.5;1252.5;C/U
13669;1;75;1;1670.0;25;417.5;1252.5;C/U
13679;1;65;1;1400.0;25;350.0;1050.0;C/U
13682;1;75;1;1670.0;25;417.5;1252.5;C/U
13688;1;75;1;1670.0;25;417.5;1252.5;C/U
13696;1;180;1;3900.0;25;975.0;2925.0;C/U
13696;2;75;1;1670.0;25;417.5;1252.5;C/U
13699;1;75;3;1840.0;25;1380.0;4140.0;C/U
13701;1;65;1;1400.0;20;280.0;1120.0;C/U
13708;1;65;1;1540.0;25;385.0;1155.0;C/U
13710;1;75;1;1840.0;25;460.0;1380.0;C/U
13725;1;65;1;1540.0;25;385.0;1155.0;C/U
13727;1;75;1;1840.0;25;460.0;1380.0;C/U
13741;1;65;1;1540.0;25;385.0;1155.0;C/U
13741;2;75;1;1840.0;25;460.0;1380.0;C/U
13742;1;65;1;1540.0;25;385.0;1155.0;C/U
13744;1;65;1;1540.0;25;385.0;1155.0;C/U
13756;1;65;1;1540.0;25;385.0;1155.0;C/U
13759;1;75;1;1840.0;25;460.0;1380.0;C/U
13763;1;75;1;1840.0;25;460.0;1380.0;C/U
13764;1;110C;1;2900.0;25;725.0;2175.0;C/U
13776;1;65;1;1540.0;25;385.0;1155.0;C/U
13780;1;75;1;1840.0;25;460.0;1380.0;C/U
13782;1;75;1;1840.0;25;460.0;1380.0;C/U
13787;1;75;2;1840.0;25;920.0;2760.0;C/U
13790;1;75;1;1840.0;25;460.0;1380.0;C/U
13797;1;180;1;4290.0;25;1072.5;3217.5;C/U
13797;2;75;1;1840.0;25;460.0;1380.0;C/U
13800;1;75;3;1840.0;25;1380.0;4140.0;C/U
13804;1;65;1;1540.0;25;385.0;1155.0;C/U
13804;2;75;2;1840.0;25;920.0;2760.0;C/U
13807;1;75;2;1840.0;25;920.0;2760.0;C/U
13809;1;75;2;1840.0;25;920.0;2760.0;C/U
13812;1;75;2;1840.0;25;920.0;2760.0;C/U
13813;1;90;1;2850.0;25;712.5;2137.5;C/U
13813;2;75;1;1840.0;25;460.0;1380.0;C/U
13816;1;75;1;1840.0;25;460.0;1380.0;C/U
13822;1;65;1;1540.0;25;385.0;1155.0;C/U
13823;1;65;1;1540.0;25;385.0;1155.0;C/U
13823;2;75;1;1840.0;25;460.0;1380.0;C/U
13828;1;75;5;1840.0;25;2300.0;6900.0;C/U
13833;1;75;1;1840.0;25;460.0;1380.0;C/U
13835;1;75;1;1840.0;25;460.0;1380.0;C/U
13837;1;75;1;1840.0;25;460.0;1380.0;C/U
13842;1;75;1;1840.0;25;460.0;1380.0;C/U
13843;1;75;1;1840.0;25;460.0;1380.0;C/U
13845;1;180;1;4290.0;25;1072.5;3217.5;C/U
13849;1;110C;1;2900.0;25;725.0;2175.0;C/U
13854;1;75;2;1840.0;25;920.0;2760.0;C/U
13855;1;75;1;1840.0;25;460.0;1380.0;C/U
13857;1;75;1;1840.0;25;460.0;1380.0;C/U
13858;1;45FKA;1;1540.0;25;385.0;1155.0;C/U
13859;1;100;1;2935.96;0;0.0;2935.96;C/U
13860;1;75;3;1840.0;25;1380.0;4140.0;C/U
13872;1;75;1;1840.0;25;460.0;1380.0;C/U
13876;1;75;1;1840.0;25;460.0;1380.0;C/U
13886;1;75;3;1840.0;25;1380.0;4140.0;C/U
13886;2;75;1;1840.0;25;460.0;1380.0;C/U
13886;3;100SP;1;2900.0;25;725.0;2175.0;C/U
13886;4;180;1;4290.0;25;1072.5;3217.5;C/U
13886;5;BOR;1;160.0;0;0.0;160.0;
13893;1;75;3;1840.0;25;1380.0;4140.0;C/U
13897;1;75;1;1840.0;20;368.0;1472.0;C/U
13897;2;BOR;1;100.0;0;0.0;100.0;
13901;1;180;1;4290.0;25;1072.5;3217.5;C/U
13906;1;75;2;1970.0;25;985.0;2955.0;C/U
13911;1;75;1;1970.0;25;492.5;1477.5;C/U
13913;1;180;1;4590.0;25;1147.5;3442.5;C/U
13914;1;110C;1;3105.0;25;776.25;2328.75;C/U
13915;1;75;1;1970.0;25;492.5;1477.5;C/U
13916;1;65;1;1650.0;25;412.5;1237.5;C/U
13916;2;75;2;1970.0;25;985.0;2955.0;C/U
13923;1;75;1;1970.0;25;492.5;1477.5;C/U
13930;1;75;1;1970.0;25;492.5;1477.5;C/U
13930;2;80T;1;2290.0;25;572.5;1717.5;C/U
13936;1;75;1;1970.0;25;492.5;1477.5;C/U
13937;1;75;3;1970.0;25;1477.5;4432.5;C/U
13940;1;75;1;1970.0;25;492.5;1477.5;C/U
13941;1;75;2;1970.0;25;985.0;2955.0;C/U
13944;1;80T;1;2290.0;25;572.5;1717.5;C/U
13947;1;75;1;1970.0;25;492.5;1477.5;C/U
13952;1;240;1;5670.0;25;1417.5;4252.5;C/U
13959;1;75;1;1970.0;25;492.5;1477.5;C/U
13963;1;65;1;1650.0;25;412.5;1237.5;C/U
13963;2;75;1;1970.0;25;492.5;1477.5;C/U
13964;1;180;1;4590.0;25;1147.5;3442.5;C/U
13964;2;75;1;1970.0;25;492.5;1477.5;C/U
13971;1;75;2;1970.0;25;985.0;2955.0;C/U
13975;1;75;1;1970.0;25;492.5;1477.5;C/U
13982;1;75;1;1970.0;25;492.5;1477.5;C/U
13983;1;150;1;2075.0;20;415.0;1660.0;C/U
13985;1;75;2;1970.0;25;985.0;2955.0;C/U
13995;1;180;1;4590.0;25;1147.5;3442.5;C/U
13995;2;75;1;1970.0;25;492.5;1477.5;C/U
13996;1;180;1;4590.0;25;1147.5;3442.5;C/U
14009;1;75;3;1970.0;25;1477.5;4432.5;C/U
14011;1;65;1;1650.0;25;412.5;1237.5;C/U
14012;1;240;1;5670.0;25;1417.5;4252.5;C/U
14012;2;75;1;1970.0;25;492.5;1477.5;C/U
14019;1;75;1;1970.0;25;492.5;1477.5;C/U
14029;1;45FIT;1;2335.0;25;583.75;1751.25;C/U
14047;1;75;1;1970.0;25;492.5;1477.5;C/U
14047;2;240;1;5670.0;25;1417.5;4252.5;C/U
14047;3;180;2;4590.0;25;2295.0;6885.0;C/U
14052;1;75;1;1970.0;25;492.5;1477.5;C/U
14055;1;75;1;1970.0;25;492.5;1477.5;C/U
14057;1;110C;1;3105.0;25;776.25;2328.75;C/U
14063;1;180;1;4590.0;25;1147.5;3442.5;C/U
