CodProd;Descripcion;Stock;PuntoPedido;Tamaño;UnidadMedida;PrecioUnitarioFactura;PrecioUnitarioPresupuesto;Rubro;CodBarra;Promo;Observaciones
100;BATERIA 12 V X 100AMP;1000000000.0;;;C/U;179173.55;216800.0;NAC;;;
1004X4;BATERIA 12 V X 100AMP 4X4;1000000000.0;;;C/U;179173.55;216800.0;NAC;;0;
1004X4IZQ;BATERIA 12 V X 100AMP 4X4 IZQUIERDA;1000000000.0;;;C/U;179173.55;216800.0;NAC;;;
100SP;BATERIA 12 V X 100 SPRINTER;1000000000.0;;;C/U;182024.79;220250.0;NAC;;;
110;BATERIA 12 V X 110 AH;1000000000.0;;;C/U;182024.79;220250.0;NAC;NO RELEVADO;0;
180;BATERIA 12 V X 180 AH ;1000000000.0;;;C/U;268636.36;325050.0;NAC;NO RELEVADO;0;
180I;BATERIA 12V X 180 AH IZQUIERDA;1000000000.0;;;C/U;268636.36;325050.0;NAC;;;Batería armada con placas 3/32
240;BATERIA 12V X 240 AH;1000000000.0;;;C/U;342561.98;414500.0;NAC;NO RELEVADO;0;BATERÍA ARMADA CON PLACAS 3/32
45CRV;BATERIA 12 V X 45 AH TIPO CRV;1000000000.0;;;C/U;133925.61;162050.0;NAC;;;Batería Tipo Renault 12 (Borne Grueso)
45F;BATERIA 12V X 45AH FORZA;1000000000.0;;;C/U;61983.47;75000.0;NAC;;;
45FIT;BATERIA 12VX45AMP HONDA FIT;1000000000.0;;;C/U;133925.61;162050.0;NAC;;;
45FKA;BATERIA 12 X 45 FORD KA;1000000000.0;;;C/U;96785.12;117110.0;NAC;;;Batería 12 x 45 tipo Ford K, Palio, VW
48V252A;REPARACIÓN BATERIA 48V 252A;0.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
50;BATERIA 12 V X 50 AH;1000000000.0;;;C/U;96785.12;117110.0;NAC;;;Bateria 12 x 50 Tipo 8 Placas
6225;BATERIA DE CICLO PROFUNDO 6V 225AH;1000000000.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
6350;BATERIA 6V / 350AMP;1000000000.0;;;C/U;0.0;0.0;IMPORTADAS;NO RELEVADO;0;
65;BATERIA 12 V X 65 AH  ;1000000000.0;;;C/U;96785.12;117110.0;NAC;NO RELEVADO;0;BATERÍA TIPO 11 PLACAS
65F;BATERIA 12V X 65AH FORZA;1000000000.0;;;C/U;61983.47;75000.0;NAC;;0;
65I;BATERIA 12V X 65 AH IZQUIERDA;1000000000.0;;;C/U;96785.12;117110.0;NAC;;;
75;BATERIA 12 V X 75 AH;1000000000.0;;;C/U;115826.44;140150.0;NAC;NO RELEVADO;0;BATERÍA TIPO DUNA JOYA
75F;BATERIA 12V X 75AH FORZA;1000000000.0;;;C/U;70661.15;85500.0;NAC;;0;
75I;BATERIA 12V X 75 AH IZQUIERDA;1000000000.0;;;C/U;115826.44;140150.0;NAC;;;
8/220;BATERIA 8V 220AH;1000000000.0;;;C/U;0.0;0.0;BATERÍAS AUTOMOTORES;;0;
90;BATERIA 12V X 90AH;1000000000.0;;;C/U;179173.55;216800.0;NAC;;;
AC;ACIDO PARA BATERIA;1000000000.0;;;KG;0.0;0.0;NAC;NO RELEVADO;0;
AG;AGUA DESTILADA;1000000000.0;;;KG;0.0;0.0;NAC;NO RELEVADO;0;
AJ;AJUSTE CTA CTE;1000000000.0;;;C/U;0.0;0.0;NACIONALES;;0;
BID;BIDONES/LITROS;1000000000.0;;;C/U;0.0;0.0;MATERIAS PRIMAS;;0;
BOR;BORNES P/BATERIAS;1000000000.0;;;C/U;0.0;0.0;;;;
BT 24/200;BATERIA DE TRACCION 24V/200AMP;1000000000.0;;;C/U;0.0;0.0;NAC;NO RELEVADO;0;
BT 24/210;BATERIA DE TRACCION 24V/210AMP SALDO;0.0;;;C/U;0.0;0.0;NAC;;0;
BT 24/230;BATERIA DE TRACCION 24V/230AMP;1000000000.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
BT 24/240;BATERIA DE TRACCION 24V/240AH - SALDO;0.0;;;C/U;0.0;0.0;IMPORTADAS;;0;
BT 24/260;BATERIA DE TRACCION 24V/260AMP;1000000000.0;;;C/U;0.0;0.0;;;;
BT 24/300;BATERIA TRACCION 24V/300AMP;1000000000.0;;;C/U;0.0;0.0;NACIONALES;;0;
BT 24/330;BATERIA DE TRACCION 24V/330AMP;1000000000.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
BT 24/390;BATERIA DE TRACCION 24V 390AMP;1000000000.0;;;C/U;0.0;0.0;BATERÍAS AUTOMOTORES;;0;
BT 24/480;BATERIA DE TRACCION 24/480AH ;1000000000.0;;;C/U;0.0;0.0;NACIONALES;;0;
BT 24/648;BATERIA DE TRACCION 24V/648AMP;1000000000.0;;;C/U;0.0;0.0;BATERÍAS AUTOMOTORES;;0;
BT 48/252;BATERIA DE TRACCION 48V/252 AMP;1000000000.0;;;C/U;156487.6;0.0;IMP;NO RELEVADO;0;
BT 48/270;BATERIA DE TRACCION 24V/270AMP;1000000000.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
BT 48/600;BATERIA DE TRACCION 48V/600AMP;1000000000.0;;;C/U;0.0;0.0;NAC;;;
BT 48/650;BATERIA DE TRACCION 48V/650AMP;1000000000.0;;;C/U;0.0;0.0;NAC;NO RELEVADO;0;BATERIA 12 X 100 TIPO 4 X 4 BORNE DERECHO
BT36/648;BATERIA DE TRACCION 36V/648AMP;1000000000.0;;;C/U;0.0;0.0;IMPORTADAS;;0;
BT48/380;BATERIA DE TRACCION 48V/380AMP;1000000000.0;;;C/U;0.0;0.0;NACIONALES;;0;
BT48/650;BATERIA DE TRACCION 48V/650AMP;1000000000.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
BTV;BATERIAS BARIAS;1000000000.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
CAB;CABLE/FICHA CONECCION SB350 GIS;0.0;;;MTS;0.0;0.0;IMPORTADAS;;0;
CAR;CARGADOR AUTOMATICO P/ BATERIAS;0.0;;;C/U;0.0;0.0;NAC;;;
CAS;CASCOS EN DESUSO;0.0;;;C/U;0.0;0.0;REZAGO;;0;
CON;CONOS ;0.0;;;KG;0.0;0.0;CMBRUBRO;;0;
CHE;CHEQUE RECHAZADO;0.0;;;C/U;0.0;0.0;NAC;;;
DEV;DEVOLUCION DE MERCADERIA;0.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
DIF;DIFERENCIA POR CAMBIO DE BATERIA;0.0;;;C/U;0.0;0.0;NAC;;;
DIFP;DIFERENCIA DE PRECIO;0.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
EX;EXHIBIDOR DE BATERIAS;0.0;;;C/U;0.0;0.0;NACIONALES;;0;
GTO;GASTO POR CHEQUE RECHAZADO;0.0;;;C/U;0.0;0.0;;;;
M12X100T;MONOBLOCK COMPLETO 12V X 100;0.0;;;C/U;0.0;0.0;NAC;;;
M12X100TI;MONOBLOCK 12X100 TAPA INDIVIDUAL;0.0;;;C/U;0.0;0.0;MP;;;
M12X110C;MONOBLOCK COMPLETO 12X110C ;0.0;;;C/U;0.0;0.0;NACIONALES;;0;
M12X160T;MONOBLOCK COMPLETO 12X170;0.0;;;C/U;0.0;0.0;MP;;;
M12X160TI;MONOBLOCK COMPLETO 12 X 160;0.0;;;C/U;0.0;0.0;MP;;;
M12X200TI;MONOBLOCK COMPLETO 12V X 200;0.0;;;C/U;0.0;0.0;MP;;;
M12X44;MONOBLOCK COMPLETO 12X44;0.0;;;C/U;0.0;0.0;NAC;;;
M12X55T;MONOBLOCK COMPLETO 12X55;0.0;;;C/U;0.0;0.0;MP;;;
M12X65;MONOBLOCK COMPLETO 12X65;0.0;;;C/U;0.0;0.0;NAC;NO RELEVADO;0;
M12X75;MONOBLOCK COMPLETO 12X75;0.0;;;C/U;0.0;0.0;MP;;;MONOBLOCK PLÁSTICO 12 X 75 PARA TERMOSELLAR
M12X80;MONOBLOCK COMPLETO 12X80;0.0;;;C/U;0.0;0.0;NAC;;;
M6/180;MONOBLOCK COMPLETO 6X180;0.0;;;C/U;0.0;0.0;;;;
MER;MECADERIA EN TRANSITO;0.0;;;C/U;0.0;0.0;CMBRUBRO;;0;
MFKA;MONOBLOCK COMPLETO 12X44 FK;0.0;;;C/U;0.0;0.0;NAC;;;
