IdSucursal;NroRemito;ItemRemito;IDCodProd;Cantidad;UnidadMedida
2;67;1;45FKA;20;C/U
2;67;2;65;20;C/U
2;67;3;75;40;C/U
2;67;4;110;10;C/U
2;67;5;180;30;C/U
2;190;1;180;7;C/U
2;268;1;1004X4;1;C/U
2;268;2;65;1;C/U
2;15141;1;Q750;2;C/U
2;15154;1;110;1;C/U
2;15207;1;65;1;C/U
2;15213;1;Q750;1;C/U
2;15223;1;Q660;1;C/U
2;25944;1;180;3;C/U
2;26547;1;1004X4;2;C/U
2;26549;1;45FIT;1;C/U
2;26550;1;75;1;C/U
2;26582;1;75;1;C/U
2;26586;1;75;1;C/U
2;26591;1;65;1;C/U
2;26591;2;75;1;C/U
2;26595;1;75;1;C/U
2;28620;1;RESKG;14138;KG
2;28621;1;RESKG;13441;KG
2;28621;2;RESKG;14967;KG
2;28622;1;RESKG;20710;KG
2;28622;2;RESKG;8332;KG
2;28623;1;RESKG;12038;KG
2;28623;2;RESKG;8512;KG
2;28625;1;RESKG;8642;KG
2;28625;2;RESKG;5086;KG
2;28883;1;75;1;C/U
2;28888;1;110;1;C/U
2;28889;1;65;1;C/U
2;28890;1;Q750;1;C/U
2;28893;1;75;1;C/U
2;28893;2;180;1;C/U
2;28894;1;75;7;C/U
2;28894;2;65;1;C/U
2;28895;1;65;1;C/U
2;28897;1;75;1;C/U
2;28898;1;75;1;C/U
2;28899;1;45FKA;1;C/U
2;28900;1;110;1;C/U
2;28917;1;65;2;C/U
2;28918;1;100SP;2;C/U
2;28941;1;180;2;C/U
2;28942;1;180;2;C/U
2;28943;1;180;6;C/U
2;28945;1;65;10;C/U
2;28945;2;75;2;C/U
2;28945;3;100SP;3;C/U
2;28946;1;110;3;C/U
2;28946;2;180;2;C/U
2;28948;1;1004X4;1;C/U
2;28948;2;100SP;1;C/U
2;28948;3;75;2;C/U
2;28948;4;65;2;C/U
2;28948;5;90;1;C/U
2;28949;1;180;5;C/U
2;28949;2;75;1;C/U
2;28965;1;75;2;C/U
2;28966;1;1004X4;1;C/U
2;28967;1;180;6;C/U
2;28967;2;110;3;C/U
2;28967;3;1004X4;1;C/U
2;28967;4;65;2;C/U
2;28968;1;180;2;C/U
2;28968;2;110;2;C/U
2;28969;1;180;2;C/U
2;28969;2;110;2;C/U
2;28969;3;75;1;C/U
2;28970;1;180;1;C/U
2;28970;2;110;3;C/U
2;28972;1;180;1;C/U
2;28972;2;75;1;C/U
2;28973;1;100SP;1;C/U
2;28973;2;65;1;C/U
2;28973;3;75;2;C/U
2;28974;1;180;2;C/U
2;28974;2;110;5;C/U
2;28974;3;100SP;2;C/U
2;28974;4;65;2;C/U
2;28975;1;180;1;C/U
2;28975;2;110;2;C/U
2;28975;3;1004X4;1;C/U
2;28975;4;75;2;C/U
2;28975;5;45CRV;1;C/U
2;28994;1;75;1;C/U
2;28995;1;65;1;C/U
2;28997;1;1004X4;1;C/U
2;28998;1;110;1;C/U
2;28999;1;ON65;2;C/U
2;28999;2;ON75;2;C/U
2;28999;3;65;1;C/U
2;29000;1;75;2;C/U
2;29000;2;65;1;C/U
2;29003;1;100SP;2;C/U
2;29004;1;180;4;C/U
2;29005;1;75;1;C/U
2;29006;1;180;6;C/U
2;29007;1;65;20;C/U
2;29008;1;180;2;C/U
2;29009;1;110;2;C/U
2;29010;1;65;1;C/U
2;29010;2;75;1;C/U
2;29011;1;65;10;C/U
2;29012;1;75;3;C/U
2;29012;2;90;1;C/U
2;29014;1;65;10;C/U
2;29015;1;65;1;C/U
2;29015;2;45FKA;2;C/U
2;29017;1;65;12;C/U
2;29018;1;180;2;C/U
2;29018;2;90;1;C/U
2;29019;1;180;6;C/U
2;29020;1;180;4;C/U
2;29021;1;65;8;C/U
2;29021;2;75;2;C/U
2;29022;1;180;4;C/U
2;29024;1;100SP;4;C/U
2;29024;2;65;8;C/U
2;29025;1;75;1;C/U
2;29025;2;65;1;C/U
2;29050;1;180;3;C/U
2;29050;2;1004X4IZQ;1;C/U
2;29076;1;90;1;C/U
2;29076;2;65;1;C/U
2;29077;1;100SP;1;C/U
2;29078;1;65;1;C/U
2;29080;1;65;1;C/U
2;29081;1;65;4;C/U
2;29082;1;75;1;C/U
2;29083;1;Q750;1;C/U
2;29084;1;65;1;C/U
2;29085;1;75;1;C/U
2;29086;1;45CRV;1;C/U
2;29088;1;65;1;C/U
2;29088;2;75;1;C/U
2;29089;1;65;1;C/U
2;29090;1;110;2;C/U
2;29091;1;75;2;C/U
2;29092;1;75;1;C/U
2;29093;1;45FIT;1;C/U
2;29093;2;ON65;1;C/U
2;29094;1;100SP;1;C/U
2;29095;1;65;1;C/U
2;29096;1;45CRV;1;C/U
2;29097;1;45FIT;1;C/U
2;29098;1;65;2;C/U
2;29098;2;75;2;C/U
